"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Stewart Rawlings Mott (December 4, 1937 -- June 12, 2008) Born in Flint, Michigan was a philanthropist who founded the Stewart R Mott Charitable Trust .","(Stewart Rawlings Mott, place of birth, Flint)"
"Roderick Blaker (born 23 November 1936 in Montreal, Quebec) was a Liberal party member of the Canadian House of Commons .","(Roderick Blaker, place of birth, Montreal)"
"Amir Mohebbian (), (born 23 June 1962 in Tehran, Iran) is an Iranian politician, journalist and political analyst .","(Amir Mohebbian, place of birth, Tehran)"
"Abel Dimier (born in 1794 in Paris, died in 1864) was a French sculptor .","(Abel Dimier, place of birth, Paris)"
"Sir Richard Armstrong, CBE (born 7 January 1943 in Leicester) is a British conductor .","(Richard Armstrong, place of birth, Leicester)"
Jean Arnault (born in 1951 in France) currently serves as United Nations Secretary-General's Special Representative for Georgia and Head of the United Nations Observer Mission in Georgia (UNOMIG) .,"(Jean Arnault, place of birth, France)"
Stephen Gough (footballer) (born 21 March 1981 in Dublin) is an Irish football player currently playing for Crumlin United FC in the Leinster Senior League .,"(Stephen Gough, place of birth, Dublin)"
Mick O'Brien was an Irish soccer player who was born in Dublin .,"(Mick O'Brien, place of birth, Dublin)"
"Omar Rezaq had given his name as Omar Marzouki and used a Tunisian passport when boarding that plane at Athens airport, but later he admitted that he is of Palestinian origin and that he was born in Lebanon in 1963 .","(Omar Rezaq, place of birth, Lebanon)"
"Born in Watford, Hertfordshire, England in 1888, the oldest child of Louise and George Pearkes, he attended Berkhamsted School .","(George Pearkes, place of birth, Watford)"
Margolin spent time working as a groundskeeper for the East Bay Parks Board .,"(Malcolm Margolin, place of birth, Boston)"
"Dominique Sanson is an artist, born in Paris, France, in 1949 .","(Dominique Sanson, place of birth, Paris)"
"Born in Rome, Verger studied singing in his native city before making his professional opera debut at the Royal Opera House, Valletta in 1817 .","(Giovanni Battista Verger, place of birth, Rome)"
Dylan Taite (193922 January 2003) was New Zealand's top rock music journalist .,"(Dylan Taite, place of birth, Liverpool)"
"Olof Björner (born November 26, 1942, Stockholm, Sweden) is a Swedish researcher who has specialized in documenting the live performances and recording sessions of American singer-songwriter Bob Dylan .","(Olof Bj%C3%B6rner, place of birth, Stockholm)"
Johan Daisne was the pseudonym of Flemish author Herman Thiery (2 September 1912--9 August 1978) .,"(Johan Daisne, place of birth, Ghent)"
"Martin Weston born April 8, 1959 in Worcester is a retired professional cricketer who played for Worcestershire from 1979 to 1995 .","(Martin Weston, place of birth, Worcester)"
"Mathieu Blin (born 20 May 1977 in Paris) is a French rugby union footballer playing Paris club, Stade Français in the elite Top 14 competition .","(Mathieu Blin, place of birth, Paris)"
Dickes was the eldest son of Walter James Dickes and Sarah Annie Dickes .,"(E. W. Dickes, place of birth, London)"
"Born in Bonn, Germany, Siamak was educated at the University of Waterloo and Yale University (M. Arch. 1985) .","(Siamak Hariri, place of birth, Bonn)"
"Born in Bucharest, Florian graduated from the Faculty of Letters and Philosophy at the local university, where he became a disciple of Rădulescu-Motru and P P Negulescu .","(Mircea Florian, place of birth, Bucharest)"
"Kevin Robinson (Irish: Caoimhín Mac Róibín, born 1955 in Kilkenny, Ireland) is a retired Irish sportsperson .","(Kevin Robinson, place of birth, Kilkenny)"
"Born in Boston, Driben studied at Vesper George Art School before moving to Paris (circa 1925) .","(Peter Driben, place of birth, Boston)"
"Born in Toronto, Ontario, Ondaatje studied at the Ontario College of Art and McGill University .","(Kim Ondaatje, place of birth, Toronto)"
"Antigoni Goni (born 1969 in Athens, Greece) is a Greek guitarist, recording artist, concertizer, and the founder and Chair of the Pre-College Division of the Guitar Department at the Juilliard School .","(Antigoni Goni, place of birth, Athens)"
"Sikander Bakht (born August 25, 1957, Karachi, Sindh) is a former Pakistani cricketer who played in 26 Tests and 27 ODIs from 1976 to 1989 .","(Sikander Bakht, place of birth, Karachi)"
George Brimley was born at Cambridge on 29 Dec .,"(George Brimley, place of birth, Cambridge)"
"William Ewart (1 May 1798 -- 23 January 1869) was a British politician, born in Liverpool on 1 May 1798 .","(William Ewart, place of birth, Liverpool)"
"Born in Nevada, Pat Ryan grew up in Los Angeles, California .","(Pat Nixon, place of birth, Nevada)"
"Angus Mackay, born in Lima, Peru in 1939, is a Scottish historian and Hispanist, specialising in Later Medieval Spain .","(Angus Mackay, place of birth, Lima)"
"Born in Belfast, in 1896, son of John Sinclair DL and Alice Montgomery, he was educated at the Royal Belfast Academical Institution, and in Switzerland .","(Maynard Sinclair, place of birth, Belfast)"
Dani Gal (born 1977 Jerusalem) is a German video artist .,"(Dani Gal, place of birth, Jerusalem)"
Robert Holden is a British landscape architect born in Preston and educated at the University of Newcastle upon Tyne .,"(Robert Holden, place of birth, Preston)"
"Paweł Zalewski (born September 25, 1964 in Warsaw) is a Polish politician .","(Paweł Zalewski, place of birth, Warsaw)"
"Born in Waterford, Ireland, Carney was educated at the Common School of Halifax, Nova Scotia .","(Michael Carney, place of birth, Waterford)"
"Born in England, Appleyard studied first architecture, and later urban planning at the Massachusetts Institute of Technology .","(Donald Appleyard, place of birth, England)"
Thomas Tod Stoddart (1810-1880) was a Scottish angler and poet .,"(Thomas Tod Stoddart, place of birth, Edinburgh)"
"Guy De Saint Cyr (born:15 April 1958, Berlin, Germany) is a German actor .","(Guy De Saint Cyr, place of birth, Berlin)"
"Adrian Moore is an electroacoustic music composer born January 1969 in Nottingham, UK, and currently living in Sheffield, UK He is director of the University of Sheffield Sound Studios .","(Adrian Moore, place of birth, Nottingham)"
"Amélie Mummendey (* 19 June 1944 in Bonn, Germany) is a German social psychologist .","(Amélie Mummendey, place of birth, Bonn)"
"Claire Burch (b. 1925 in Brooklyn, New York - d May 21, 2009) was an American author, filmmaker and poet .","(Claire Burch, place of birth, Brooklyn)"
"Born in Beaumont, Texas in 1946, Youngblood received his Bachelor of Arts degree from Rice University in 1969 .","(Lloyd Youngblood, place of birth, Beaumont)"
"He had been proclaimed by the United Nations Population Fund and welcomed by the secretary-general of the United Nations, Kofi Annan, as the six billionth baby .","(World population milestones, place of birth, Sarajevo)"
"Born in Stuttgart, Germany, Boger joined the HJ (Hitler youth) in his teens .","(Wilhelm Boger, place of birth, Stuttgart)"
"Born in Naples, Scalese began performing at major Italian opera houses in the mid 1820s, including La Fenice in Venice, the Teatro Valle in Rome, and the Teatro di San Carlo in his native city .","(Raffaele Scalese, place of birth, Naples)"
"Vittorio Blanseri (c. 1735-1775) (or Blancheri) was an Italian painter, born at Venice .","(Vittorio Blanseri, place of birth, Venice)"
"Born in Barcelona, Alfau emigrated with his family at the age of fourteen to the United States, where he lived the remainder of his life .","(Felipe Alfau, place of birth, Barcelona)"
"John Blackburn (born 16 January 1976, Luton, England) is currently known as a member of Skin's backing band as the bass and keyboard player .","(John Blackburn, place of birth, Luton)"
Valera was born at Seville .,"(Cipriano de Valera, place of birth, Seville)"
"From a notary's office, Collé was transferred to that of the receiver-general of finance, where he remained for nearly twenty years .","(Charles Collé, place of birth, Paris)"
"Thierry Ehrmann, artist, was born in Lyon, France .","(Thierry Ehrmann, place of birth, Lyon)"
Alain Dorval (born 1946 as Alain Bergé) is a French voice actor born in Algiers .,"(Alain Dorval, place of birth, Algiers)"
"Sandrina Malakiano (born 24 November 1971 in Bangkok) is a leading news presenter of Metro TV, an Indonesian news television channel .","(Sandrina Malakiano, place of birth, Bangkok)"
"Romeo Niram (born, 1974 in Bucharest) is a painter born in Romania .","(Romeo Niram, place of birth, Romania)"
"Born in Poland in 1911, Dycian attended university and was certified as a lawyer .","(Leon Dycian, place of birth, Poland)"
"Born in Amherst, Massachusetts, Darling attended the public schools .","(Mason Cook Darling, place of birth, Amherst)"
"Born in Manchester, he was the son of Henry S Straus of Sedgley Park, a merchant and vice consul for the Netherlands .","(Bertram Stuart Straus, place of birth, Manchester)"
"Earle J Gluck (May 23, 1900 -- February 19, 1972), was a radio pioneer, born in Maryland .","(Earle J. Gluck, place of birth, Maryland)"
"Born in Milwaukee, Wisconsin, Barry graduated from Shorewood High School .","(Jonathan B. Barry, place of birth, Milwaukee)"
"Born in France, Leclerc studied political sciences in California, United States .","(Bernard Leclerc, place of birth, France)"
"Born in Bristol, Dominic grew up on a farm in Somerset and attended Millfield School in Street, Somerset .","(Dominic Dromgoole, place of birth, Bristol)"
"Stanley (Stan) Franklin, born at Bow in the East End of London, was the son of coppersmith Harry Franklin .","(Stanley Arthur Franklin, place of birth, Bow)"
"Marc Sangnier (April 3 1873 Paris - May 28 1950 Paris) was a French Roman Catholic thinker and politician, who in 1894 founded le Sillon (``The Furrow''), a liberal Catholic movement .","(Marc Sangnier, place of birth, Paris)"
"Leslie Allen (5 February 1904 Chicago, Illinois -- 1 May 1977 Wilmette, Illinois) was an American racecar driver .","(Leslie Allen, place of birth, Chicago)"
"Yang Yang (; born 19 May 1986 in Beijing, China) is a Chinese baseball player who was a member of Team China at the 2008 Summer Olympics .","(Yang Yang, place of birth, Beijing)"
Lawrence E Kahn (b .,"(Lawrence E. Kahn, place of birth, Troy)"
"She was born Marie-Cornélie Falcon in Paris to Pierre Falcon, a master-tailor and his wife Edmé-Cornélie .","(Cornélie Falcon, place of birth, Paris)"
"Wojciech Rychlik is a biologist and photographer, born in Poland and living in the USA since 1980 .","(Wojciech Rychlik, place of birth, Poland)"
"Frederick W Hodge (October 28, 1864 -- September 28, 1956) was an editor, anthropologist, archaeologist, and historian born in Plymouth, England to Edwin and Emily (Webb) Hodge .","(Frederick Webb Hodge, place of birth, Plymouth)"
"Born in Burnley, he was the only son of Herbert Jackson and his wife Annie Hiley .","(Willis Jackson, Baron Jackson of Burnley, place of birth, Burnley)"
"Carlson Evans was born and raised on a dairy farm in rural Minnesota and graduated from nursing school in Minneapolis, Minnesota .","(Diane Carlson Evans, place of birth, Minnesota)"
"Born in Cambridge, Ohio, White attended the common schools and Cambridge Academy .","(Joseph W. White, place of birth, Cambridge)"
Franz Dominic Grassi (* 11 May 1801 in Leipzig; † 14 November 1880 Leipzig) was a merchant in Leipzig with Italian descent .,"(Franz Dominic Grassi, place of birth, Leipzig)"
"Stefano Nolfi (born 23 September 1963, Rome) is a director of research of the Institute of Cognitive Sciences and Technologies at the Consiglio Nazionale delle Ricerche and head of the Laboratory of Autonomous Robots and Artificial Life .","(Stefano Nolfi, place of birth, Rome)"
Ibrahim Diarra (born 25 May 1983 in Paris) is a French rugby union footballer .,"(Ibrahim Diarra, place of birth, Paris)"
"Jennifer Holliday (born 18 January 1964 in Melbourne) is a softball player from Australia, who won a bronze medal at the 1996 Summer Olympics .","(Jennifer Holliday, place of birth, Melbourne)"
"English gourmand Peter Dowdeswell, born in London on 29 July 1940, is among the most successful competitive eaters in the recorded history of the sport .","(Peter Dowdeswell, place of birth, London)"
"Anna Hegner (* 1 March 1881 in Basel; † 3 February 1963 in Basel) was a Swiss violinist, music composer and pedagogue .","(Anna Hegner, place of birth, Basel)"
"Born in Lithuania, Rifkind emigrated to the United States in 1910 .","(Simon H. Rifkind, place of birth, Lithuania)"
